identifier,identifier 2,title_initial_article,title,public_note,public_note 2,public_note 3,abstract,abstract 2,name,subject_geographic_hierarchical_street,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_country,subject_geographic,subject_geographic 2,subject_topical,subject_topical 2,rights,repository,project_title,record_source,item_type,form,digital_origin,language,date_text,date_single_start,date_end,date_qualifier
bcpl_00046,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00046]BL00046,,Dr. Leland Ramsey House,,Ownership: Private; Current Use: Residence,"Address: 317 W. Broadway Ave., Maryville, TN","Architectural -- one story frame house with gabled roof, rear ell, gabled front porch with decorative wood trim built in 1885.",,,317 West Broadway Avenue,Maryville,Tennessee,United States,"Maryville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79022085 | Coordinates: 35.74673, -83.979",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1885,1885,,
bcpl_01024,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL01024]BL01024,,Isaac Yearout House (NR),This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Residence,"Address: 1305 Big Springs Rd., Maryville, TN","Architectural -- two story brick with side gables, hipped rear extension, gabled two story front porch with columns; built ca. 1819-24",,,1305 Big Springs Road,Maryville,Tennessee,United States,"Blount County (Tenn.) | URI: http://id.loc.gov/authorities/names/n81025935 | Coordinates: 35.68724, -83.92553",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,ca. 1819-1824,1819,1824,approximate
bcpl_00471,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00471]BL00471,,People's Bank of Friendsville (NR),This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Residence,"Address: College St., Friendsville, TN","Commercial -- bank built of brick in 1915, in business to 1936; only significant commercial building remaining in Friendsville",,,College Street,Friendsville,Tennessee,United States,"Blount County (Tenn.) | URI: http://id.loc.gov/authorities/names/n81025935 | Coordinates: 35.68724, -83.92553",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1915,1915,,
bcpl_04235,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL04235]BL04235,,Willard House,,Ownership: Private; Current Use: Residence,"Address: 1202 Oak Park Ave., Maryville, TN","Architectural -- two story frame, with hip and gable roof, built in the 1880s",Historical -- farm house for farm which was developed as the Oak Park residential area,,1202 Oak Park Avenue,Maryville,Tennessee,United States,"Oak Park Historic District (Maryville, Tenn.)","Maryville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79022085 | Coordinates: 35.74673, -83.979",Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1880s,1880,1889,approximate
bcpl_04219,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL04219]BL04219,,King House,,Ownership: Private; Current Use: Residence,"Address: 225 S. Magnolia Ave., Maryville, TN","Architectural -- one and one-half stories, with gambrel roof and dormers, built ca. 1910",,,225 South Magnolia Avenue,Maryville,Tennessee,United States,"Oak Park Historic District (Maryville, Tenn.)","Maryville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79022085 | Coordinates: 35.74673, -83.979",Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,ca. 1910,1910,,approximate
bcpl_01557,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL01557]BL01557,,John F. Shea House,,Ownership: Private; Current Use: Residence,"Address: 7713 River Rd., Townsend",Architectural -- two and one-half story frame house built in 1904 in the Queen Anne style,"Historical -- built by Shea for George Townsend who was brother to W. B. Townsend, President of Little River Railroad and Lumber Company; one of the few remaining buildings associated with the company",,7713 River Road,Townsend,Tennessee,United States,"Townsend (Tenn.) | URI: http://id.loc.gov/authorities/names/n89110546 | Coordinates: 35.67577, -83.7525",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1904,1904,,
bcpl_01632,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL01632]BL01632,,Kinzel Springs Swinging Bridge,,Ownership: Blount County; Current Use: Footbridge,"Address: Across Little River between Hwy 321 and Old Walland Hwy at Kinzel Springs, Walla",Recreational -- Footbridge connecting parts of a resort in early 1900s; replaced in 1990s after it was demolished by flood,,,,,,,"Blount County (Tenn.) | URI: http://id.loc.gov/authorities/names/n81025935 | Coordinates: 35.68724, -83.92553",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,early 1900s,1900,1950,
bcpl_03846,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL03846]BL03846,,Dr. Royal Jennings House,This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Residence,"Address: 304 Indiana Avenue, Maryville, TN","Architectural -- two story frame with side gables, Italianate influences, built ca. 1874",,,304 Indiana Avenue,Maryville,Tennessee,United States,"College Hill Historic District (Maryville, Tenn.)","Maryville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79022085 | Coordinates: 35.74673, -83.979",Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,ca. 1874,1874,,approximate
bcpl_01361,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL01361]BL01361,,Walland Depot,,"Ownership: Private; Current Use: Since 1982, Little River Railroad and Lumber Company Museum","Address: Hwy 321, Walland, later relocated to Hwy 321, Townsend",Architectural -- typical hip-roofed depot built ca. 1901,History of transportation -- terminus for both the Knoxville & Augusta RR (later Southern RR) and the Little River RR,,Highway 321,Walland,Tennessee,United States,"Walland (Tenn.) | Coordinates: 35.72814, -83.81323",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,ca. 1901,1901,,approximate
bcpl_00636,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00636]BL00636,,John Russell House (NR),This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Unoccupied,"Address: Prater Rd. off Old Lowes Ferry Rd., at Poland Creek, Louisville, TN","Architectural -- two story, double pile, five bay, central passage plan I-House built in 1851; brick with frame rear ell",,,Prater Road,Louisville,Tennessee,United States,"Blount County (Tenn.) | URI: http://id.loc.gov/authorities/names/n81025935 | Coordinates: 35.68724, -83.92553",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1851,1851,,
bcpl_00050,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00050]BL00050,,Lamar Memorial Library,This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Center for Campus Ministry,"Address: 502 E. Lamar Alexander Parkway, Maryville, TN",Architectural -- built of brick in 1888 in form of Greek cross; handsome oak interior woodwork.,"Historical -- built as a memorial to Prof. Thomas Jefferson Lamar, the college's ""second founder"".",,502 East Lamar Alexander Parkway,Maryville,Tennessee,United States,"Maryville College | URI: http://id.loc.gov/authorities/names/n83201658 | Coordinates: 35.75147, -83.96296",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,Maryville College--Buildings,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1888,1888,,
bcpl_02443,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL02443]BL02443,,John Gillespie House (NR),This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Unoccupied,"Address: Lowes Ferry Rd., l mi. N of Louisville,TN","Architectural -- two story, three bay residence of limestone construction, features finely crafted jack arching, a date stone (1802) on the lintel above the door, two chimneys, frame ell",Historical -- scene of a murder in the 1840s of a Mr. Humes by a slave Charlie,,Lowes Ferry Road,Louisville,Tennessee,United States,"Blount County (Tenn.) | URI: http://id.loc.gov/authorities/names/n81025935 | Coordinates: 35.68724, -83.92553",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1802,1802,,
bcpl_00058,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00058]BL00058,,Carnegie Hall,This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Student residence hall,"Address: 502 E. Lamar Alexander Parkway, Maryville, TN",Architectural -- designed by Knoxville architect R. F. Graf in Georgian Colonial style; built in 1916 of tan brick,,,502 East Lamar Alexander Parkway,Maryville,Tennessee,United States,"Maryville College | URI: http://id.loc.gov/authorities/names/n83201658 | Coordinates: 35.75147, -83.96296",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,Maryville College--Buildings,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1916,1916,,
bcpl_04089,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL04089]BL04089,,David Jones House (NR),This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Residence,"Address: 404 High St., Maryville, TN","Architectural -- two story, symmetrical plan, three bay brick Italianate design residence built in 1874 with a one story ell; significant interior woodwork.","Historical -- residence, in turn, of skilled mason David Jones, Maryville mayor W. T. Parham, Maryville College professor E. B. Waller.",,404 High Street,Maryville,Tennessee,United States,"Maryville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79022085 | Coordinates: 35.74673, -83.979",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1874,1874,,
bcpl_00059,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00059]BL00059,,Anderson Hall,This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Classrooms and offices,"Address: 502 E. Lamar Alexander Parkway, Maryville, TN","Educational -- housed administration for college of liberal arts which pioneered higher education of women and of freedmen. Architectural -- constructed in 1869-70, with a rear addition in 1890; brick, with ornamental brick work at roof line, attractive c",,,502 East Lamar Alexander Parkway,Maryville,Tennessee,United States,"Maryville College | URI: http://id.loc.gov/authorities/names/n83201658 | Coordinates: 35.75147, -83.96296",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,Maryville College--Buildings,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1869-1870,1869,1870,
bcpl_03532,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL03532]BL03532,,Smokehouse,This structure appears on the National Historical Registry.,Ownership: Federal; Current Use: Museum,"Address: Cades Cove, Great Smoky Mountains National Park, TN","Architectural -- pre1890 smokehouse relocated to site of Cable Mill by Park Service; log pen, front and rear gables, half dovetail notches, poplar logs; poplar log meat bench inside",,,,,,,"Cades Cove (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85018626 | Coordinates: 35.59426, -83.84184","Cades Cove Historic District (Cades Cove, Tenn.)",Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,before 1890,1700,1890,questionable
bcpl_01587,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL01587]BL01587,,John Martin Mill (NR),This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Not in operation,"Address: Mill Loop Rd., 0.3 mi. S of W. Millers Cove Rd., Walland, TN",Commercial -- mill and mill dam operating from 1834 to recent years,,,Mill Loop Road,Walland,Tennessee,United States,"Blount County (Tenn.) | URI: http://id.loc.gov/authorities/names/n81025935 | Coordinates: 35.68724, -83.92553",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1834?,1834,,questionable
bcpl_02478,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL02478]BL02478,,Meadhaven or Jarad Mead House,This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Residence,"Address: Cox Rd., Louisville, TN","Architectural -- two story frame house with side ells, gable & hip roof; this imposing Italianate structure dates from 1877, but encloses an earlier small house",,,Cox Road,Louisville,Tennessee,United States,"Louisville Historic District (Louisville, Tenn.)","Louisville (Tenn.) | URI: http://id.loc.gov/authorities/names/n84077463 | Coordinates: 35.82582, -84.06158",Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1877,1877,,
bcpl_00775,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL00775]BL00775,,Macklin Kerr House (NR),This structure appears on the National Historical Registry.,Ownership: Private; Current Use: Residence,"Address: Big Gully Rd., 0.3 mi. N. of Kyker Rd., Maryville, TN",Architectural -- two story brick with frame side and rear additions; built 1847,"Historical -- site of Gen. O. O. Howard's headquarters during the Federal Army's visit to Blount County, December 1863.",,"Big Gully Road, 0.3 mile North of Kyker Road",Maryville,Tennessee,United States,"Blount County (Tenn.) | URI: http://id.loc.gov/authorities/names/n81025935 | Coordinates: 35.68724, -83.92553",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1847,1847,,
bcpl_01421,http://dlxstest.lib.utk.edu/cgi/i/image/image-idx?id=S-BCPL-X-BL01421]BL01421,,Schlosser Leather Company House,,Ownership: Private; Current Use: Residence,"Address: East Millers Cove Rd, Walland, TN","Architectural -- one story ""T"" shaped frame house w/gable roof; built between 1905-10 by Schlosser Leather Company to house family of a worker",,Schlosser Leather Company | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,East Millers Cove Road,Walland,Tennessee,United States,"Walland (Tenn.) | Coordinates: 35.72814, -83.81323",,Historic buildings | http://id.loc.gov/authorities/subjects/sh85061097,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Blount County Public Library,Blount County Historical and Architectural Inventory,"University of Tennessee, Knoxville Libraries",still image,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,zxx,1905-1910,1905,1910,
